GlobalId,Name,IfcClass,UniformatDescription,Material
1Un8i2d9zS4KN8bqUPMQMO,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
1rnKv_Ul7_S9KPdfpo5aer,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
0NJvQ9wlvXbBad27GHuRRp,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
0LlsFp6Y1cUR6mwkCvdtaF,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
3q_54mQdu9AFlRQP1nb88w,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
3ZAptUrfZHorHkjqs8HuTQ,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
3EiBbLISEs8kyMa7A7x6Q_,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
09HTyDwjJafbdzHkRc6w1S,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
3NAb25CrqJdUvHoWat45AO,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
2llzMo$xUgAuJAailrOGnL,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
3DcYohpuFklQ7d9kH5f1yL,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
0o3kgTKqwV2lxphSNbpTwS,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
3bzbBcEBOgMrftfIfu3cs_,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
3n7g3O$i4hawZwMrW1RRfj,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
3XojyIxwOMkDOwZTGOhQDN,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
0hwXNzxkKcXFTK6zaBPZA8,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
3qGjEOQC5xJy57shnW0lFg,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
2p35gH0TQalXOXSzsAk5$T,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
3npAuJFb0dE9o2Rkz5f0mb,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
11_TLQZA7ns6ldWZmszxXD,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
2O2MFZzfU0LwInIgdIaTgE,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
1QheIigOGNb09KKrks7MVO,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
3tybNXMyzJ2Ir4m05gd6sP,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
3W0viIKHpus0VkT1U_06ZQ,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
1RbGzo0p9ziw6Rckv$gsZT,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
0fZjbwBwFUsIzeC_vYR4X9,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
